Month,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,91123,60900,65466,78535,95447,55463,71908,97965,81577,71787
Feb,91725,79819,59968,63536,83595,72808,59701,69877,78375,65983
Mar,98222,69235,76359,89253,56577,52593,56061,95159,53358,61442
Apr,77861,71356,81864,85223,54878,96374,69072,73709,95886,94724
May,66357,59155,61667,96410,60253,68552,59202,77279,59403,66251
Jun,94900,83757,83607,90654,75402,66393,76725,53108,69057,88913
Jul,53396,81322,73950,57147,84673,76666,83740,85494,94129,90317
Aug,87273,96105,85697,61531,79434,55133,92897,91980,74590,54944
Sep,60937,83838,59342,72717,65973,55834,62689,84565,74758,61652
Oct,82167,83719,63674,83836,84582,52291,88271,79345,63655,87635
Nov,79594,70500,76464,84394,86344,65453,74960,50131,91523,72392
Dec,69537,64629,91081,55840,88701,62307,98090,66020,99998,80509
